email,name,tdt_id,gender,phone_number,date_of_birth,address,role,parent_number,parent_email
73117371@student.tdtu.edu.vn,Student 1,73117371,female,0971555652,2001-11-08,17 Đường E,student,0921147692,44396991@student.tdtu.edu.vn
99011955@student.tdtu.edu.vn,Student 2,99011955,female,0971257305,2000-11-06,4 Đường B,student,0911869253,62540631@student.tdtu.edu.vn
73680499@student.tdtu.edu.vn,Student 3,73680499,male,0954003589,2009-05-09,5 Đường D,student,0996620776,10155012@student.tdtu.edu.vn
52054784@student.tdtu.edu.vn,Student 4,52054784,female,0976445726,2018-01-28,98 Đường A,student,0913319479,42851434@student.tdtu.edu.vn
55395646@student.tdtu.edu.vn,Student 5,55395646,male,0958008782,2015-10-18,78 Đường E,student,0972140376,25371854@student.tdtu.edu.vn
13544021@student.tdtu.edu.vn,Student 6,13544021,female,0966954113,2004-07-20,38 Đường C,student,0930859565,43263372@student.tdtu.edu.vn
39897316@student.tdtu.edu.vn,Student 7,39897316,male,0956132034,2012-03-20,27 Đường E,student,0965079168,62926496@student.tdtu.edu.vn
68179175@student.tdtu.edu.vn,Student 8,68179175,female,0944329089,2018-07-03,66 Đường E,student,0942695672,94529988@student.tdtu.edu.vn
26423379@student.tdtu.edu.vn,Student 9,26423379,male,0913101278,2006-05-05,2 Đường D,student,0922331498,96651215@student.tdtu.edu.vn
75665512@student.tdtu.edu.vn,Student 10,75665512,female,0927878033,2010-08-15,78 Đường C,student,0982245791,88122893@student.tdtu.edu.vn
16899341@student.tdtu.edu.vn,Student 11,16899341,female,0957994206,2006-04-03,51 Đường C,student,0996617028,88277307@student.tdtu.edu.vn
17343575@student.tdtu.edu.vn,Student 12,17343575,female,0958780175,2000-02-02,36 Đường E,student,0944051463,74086807@student.tdtu.edu.vn
92988904@student.tdtu.edu.vn,Student 13,92988904,male,0942778191,2007-03-18,58 Đường D,student,0913469214,42747190@student.tdtu.edu.vn
58653806@student.tdtu.edu.vn,Student 14,58653806,female,0969116218,2007-11-07,2 Đường E,student,0941184039,65292909@student.tdtu.edu.vn
67229701@student.tdtu.edu.vn,Student 15,67229701,female,0963158495,2011-09-06,60 Đường C,student,0914782298,55565067@student.tdtu.edu.vn
59580344@student.tdtu.edu.vn,Student 16,59580344,female,0992921966,2021-07-27,66 Đường D,student,0983492122,33781700@student.tdtu.edu.vn
87220748@student.tdtu.edu.vn,Student 17,87220748,female,0988147377,2005-02-28,48 Đường B,student,0972927313,77622692@student.tdtu.edu.vn
39813765@student.tdtu.edu.vn,Student 18,39813765,female,0959954848,2006-06-17,28 Đường E,student,0912239378,22684048@student.tdtu.edu.vn
32809295@student.tdtu.edu.vn,Student 19,32809295,male,0928549199,2002-03-21,91 Đường E,student,0933308963,45236996@student.tdtu.edu.vn
38702847@student.tdtu.edu.vn,Student 20,38702847,female,0930859175,2020-03-12,77 Đường E,student,0978384202,29125646@student.tdtu.edu.vn
11943824@student.tdtu.edu.vn,Student 21,11943824,male,0966248637,2000-07-20,79 Đường D,student,0999681179,89976148@student.tdtu.edu.vn
93340966@student.tdtu.edu.vn,Student 22,93340966,male,0942890280,2019-12-27,65 Đường D,student,0944558881,68691883@student.tdtu.edu.vn
22873047@student.tdtu.edu.vn,Student 23,22873047,female,0937364077,2020-02-28,41 Đường A,student,0922385428,82558789@student.tdtu.edu.vn
74517191@student.tdtu.edu.vn,Student 24,74517191,female,0940357728,2020-01-15,33 Đường A,student,0957614728,95731416@student.tdtu.edu.vn
69436979@student.tdtu.edu.vn,Student 25,69436979,female,0977587770,2014-04-18,12 Đường A,student,0911216950,63402976@student.tdtu.edu.vn
32700074@student.tdtu.edu.vn,Student 26,32700074,female,0916460324,2020-03-13,61 Đường C,student,0978806233,47115028@student.tdtu.edu.vn
65935663@student.tdtu.edu.vn,Student 27,65935663,male,0950151764,2000-12-17,45 Đường C,student,0982320870,49057804@student.tdtu.edu.vn
52173585@student.tdtu.edu.vn,Student 28,52173585,female,0923515566,2000-05-16,25 Đường E,student,0920474792,47866461@student.tdtu.edu.vn
64742950@student.tdtu.edu.vn,Student 29,64742950,male,0934067221,2021-03-26,68 Đường C,student,0976222367,47348781@student.tdtu.edu.vn
63873303@student.tdtu.edu.vn,Student 30,63873303,male,0948827291,2021-10-10,7 Đường C,student,0946798886,20001756@student.tdtu.edu.vn
64836017@student.tdtu.edu.vn,Student 31,64836017,male,0981998651,2005-09-27,12 Đường D,student,0929671228,24044036@student.tdtu.edu.vn
79387747@student.tdtu.edu.vn,Student 32,79387747,male,0911905625,2002-05-27,3 Đường A,student,0992088070,44377382@student.tdtu.edu.vn
68969941@student.tdtu.edu.vn,Student 33,68969941,female,0972401557,2009-07-26,78 Đường B,student,0957364978,83615718@student.tdtu.edu.vn
33903550@student.tdtu.edu.vn,Student 34,33903550,male,0982929707,2006-06-26,89 Đường A,student,0952554350,99502964@student.tdtu.edu.vn
55695500@student.tdtu.edu.vn,Student 35,55695500,male,0957908668,2018-10-26,96 Đường A,student,0965209229,92101807@student.tdtu.edu.vn
50009296@student.tdtu.edu.vn,Student 36,50009296,female,0929852678,2013-07-24,100 Đường D,student,0978904885,58958903@student.tdtu.edu.vn
77872688@student.tdtu.edu.vn,Student 37,77872688,female,0945671436,2017-02-20,74 Đường C,student,0942285354,52557032@student.tdtu.edu.vn
93480239@student.tdtu.edu.vn,Student 38,93480239,male,0921560968,2008-01-16,96 Đường E,student,0919637860,29945672@student.tdtu.edu.vn
17853152@student.tdtu.edu.vn,Student 39,17853152,female,0930432157,2016-07-26,39 Đường E,student,0945371180,67287183@student.tdtu.edu.vn
59587455@student.tdtu.edu.vn,Student 40,59587455,male,0984390245,2019-05-18,66 Đường B,student,0949790818,38420190@student.tdtu.edu.vn
15230594@student.tdtu.edu.vn,Student 41,15230594,male,0947534758,2011-10-18,51 Đường E,student,0984606722,55246294@student.tdtu.edu.vn
58459211@student.tdtu.edu.vn,Student 42,58459211,male,0964353842,2002-07-05,2 Đường D,student,0914908792,54265756@student.tdtu.edu.vn
80279039@student.tdtu.edu.vn,Student 43,80279039,male,0998206238,2004-12-24,95 Đường B,student,0979533931,27345137@student.tdtu.edu.vn
40928629@student.tdtu.edu.vn,Student 44,40928629,male,0959806278,2007-02-12,1 Đường C,student,0960575644,17100764@student.tdtu.edu.vn
